,0,1,2,3
"[0.0, 300.0]",-2.847716379836177,-2.8464861239485804,-2.850422275922809,-2.855527000619191
"[0.0, 240.0]",-2.52084356118484,-2.52132611598335,-2.5242789743668674,-2.5268630477169616
"[60.0, 300.0]",-3.4015254434296383,-3.4029323844133867,-3.393052618006613,-3.40171215856598
"[120.0, 300.0]",-3.091208862718034,-3.08444613184991,-2.8407340791015185,-3.108319824214234
"[120.0, 240.0]",-13.12541872310217,-3.1868564581812495,-19.027213177874142,-3.1830477088149527
"[60.0, 240.0]",-3.635528934841617,-3.5175194981863815,-3.646237608390823,-3.510108752929621
"[60.0, 180.0]",-13.994164535871148,-3.5948098218182296,-20.638571635634445,-3.644848177482725
terminal,0.0,0.0,0.0,0.0
"[0.0, 180.0]",-2.307567990893797,-2.304384170373104,-2.3207192378433397,-2.316669710561707
"[0.0, 120.0]",-2.148298095432731,-2.1544334840519372,-16.548623854991238,-2.15283474574005
"[180.0, 300.0]",-19.8369410460954,-1.9331277374506277,-0.6790106532684683,-1.9802876355144
"[240.0, 300.0]",4.288666354777487,-1.1230723044035733,-18.20930624027691,-1.2052559981106266
"[240.0, 240.0]",14.073169883134874,-0.5421470832449945,-0.5889552814654031,-11.361512828387072
"[300.0, 240.0]",-0.40689636007682867,-2.9701,-0.40567326846937435,-0.1316112618043872
"[300.0, 180.0]",-0.2754823713157411,-0.2680417931050392,-0.27550230014065646,0.7712954375506216
"[240.0, 180.0]",-7.72553055720799,-0.006501858870986449,-0.2367281631025073,32.55516792511151
"[180.0, 180.0]",60.31357039751946,-4.90099501,0.9402373754551128,-11.361512828387072
"[180.0, 120.0]",0.006270620956303454,2.116257811040528,-6.793465209301,92.21355127980883
"[0.0, 60.0]",-2.1467233004482793,-2.143108863419911,-2.180710468675332,-2.135844507853771
"[300.0, 120.0]",-0.20140867460199147,-0.2156655336297399,-0.20732694201742277,-1.0
"[60.0, 60.0]",-6.220035742832148,-26.76966303456023,-26.76966303456023,-6.398269370894593
"[300.0, 60.0]",-0.1386852641825764,-0.1435419697409464,-0.13876629835598978,-0.13471576087723905
"[240.0, 60.0]",-0.06979317490528322,-1.0,-0.07199581395691455,-0.07266889839667773
"[180.0, 60.0]",-0.03002017632200287,3.172035208274501,-0.020439740334892043,-1.99
